iter	Passed	Remaining
431	1557	2047
432	1559	2041
433	1561	2036
434	1564	2031
435	1565	2025
436	1568	2020
437	1569	2014
438	1571	2008
439	1574	2004
440	1577	1999
441	1580	1994
442	1582	1989
443	1584	1983
444	1587	1979
445	1589	1974
446	1593	1971
447	1595	1965
448	1597	1960
449	1599	1954
450	1601	1948
451	1603	1943
452	1605	1938
453	1608	1933
454	1610	1929
455	1612	1923
456	1614	1918
457	1616	1912
458	1618	1907
459	1621	1902
460	1625	1900
461	1627	1895
462	1630	1890
463	1632	1885
464	1635	1881
465	1637	1876
466	1642	1874
467	1644	1869
468	1646	1864
469	1649	1859
470	1652	1855
471	1654	1851
472	1657	1846
473	1660	1843
474	1663	1838
475	1666	1834
476	1668	1829
477	1670	1824
478	1674	1821
479	1677	1816
480	1679	1812
481	1682	1808
482	1684	1803
483	1688	1799
484	1690	1795
485	1693	1791
486	1696	1787
487	1698	1782
488	1701	1778
489	1703	1773
490	1706	1769
491	1709	1764
492	1711	1760
493	1713	1755
494	1716	1751
495	1719	1747
496	1722	1742
497	1724	1738
498	1727	1734
499	1730	1730
500	1733	1726
501	1735	1721
502	1739	1718
503	1741	1714
504	1744	1709
505	1747	1705
506	1749	1701
507	1752	1697
508	1756	1694
509	1759	1690
510	1761	1685
511	1763	1681
512	1765	1676
513	1768	1671
514	1770	1667
515	1773	1663
516	1777	1660
517	1780	1656
518	1782	1652
519	1785	1648
520	1788	1644
521	1791	1640
522	1793	1635
523	1794	1630
524	1796	1625
525	1800	1622
526	1802	1617
527	1804	1612
528	1806	1608
529	1808	1604
530	1811	1600
531	1814	1596
532	1816	1591
533	1818	1586
534	1820	1582
535	1822	1577
536	1825	1573
537	1827	1569
538	1829	1564
539	1832	1560
540	1834	1556
541	1836	1552
542	1839	1548
543	1841	1543
544	1843	1539
545	1846	1535
546	1848	1530
547	1850	1525
548	1851	1521
549	1854	1516
550	1856	1512
551	1858	1508
552	1860	1503
553	1862	1499
554	1864	1494
555	1866	1490
556	1869	1486
557	1871	1482
558	1873	1477
559	1875	1473
560	1876	1468
561	1878	1464
562	1880	1459
563	1882	1455
564	1884	1451
565	1887	1447
566	1889	1442
567	1890	1438
568	1892	1433
569	1894	1429
570	1897	1425
571	1900	1421
572	1902	1417
573	1904	1413
574	1906	1408
575	1909	1405
576	1911	1401
577	1914	1397
578	1916	1393
579	1917	1388
580	1919	1384
581	1921	1379
582	1924	1376
583	1927	1372
584	1928	1368
585	1930	1364
586	1932	1359
587	1934	1355
588	1936	1351
589	1941	1348
590	1943	1344
591	1945	1340
592	1947	1336
593	1949	1332
594	1951	1328
595	1953	1324
596	1955	1320
597	1957	1315
598	1959	1311
599	1960	1307
600	1962	1302
601	1964	1298
602	1968	1295
603	1970	1291
604	1971	1287
605	1973	1282
606	1974	1278
607	1976	1274
608	1979	1270
609	1981	1266
610	1983	1262
611	1985	1258
612	1986	1254
613	1988	1250
614	1990	1246
615	1995	1243
616	1997	1239
617	1999	1235
618	2001	1231
619	2003	1227
620	2005	1223
621	2010	1221
622	2012	1217
623	2013	1213
624	2015	1209
625	2017	1205
626	2019	1201
627	2021	1197
628	2023	1193
629	2026	1189
630	2028	1185
631	2029	1181
632	2032	1178
633	2033	1174
634	2037	1171
635	2039	1167
636	2041	1163
637	2042	1159
638	2044	1155
639	2046	1151
640	2048	1147
641	2051	1144
642	2053	1140
643	2055	1136
644	2056	1132
645	2058	1128
646	2060	1124
647	2062	1120
648	2066	1117
649	2067	1113
650	2069	1109
651	2071	1105
652	2073	1101
653	2075	1097
654	2077	1094
655	2079	1090
656	2081	1086
657	2082	1082
658	2084	1078
659	2087	1075
660	2089	1071
661	2092	1068
662	2093	1064
663	2095	1060
664	2097	1056
665	2098	1052
666	2100	1048
667	2101	1044
668	2103	1040
669	2106	1037
670	2108	1033
671	2109	1029
672	2111	1025
673	2112	1021
674	2114	1018
675	2115	1014
676	2117	1010
677	2120	1006
678	2122	1003
679	2124	999
680	2125	995
681	2127	992
682	2129	988
683	2131	984
684	2133	981
685	2135	977
686	2136	973
687	2138	969
688	2139	965
689	2141	962
690	2142	958
691	2144	954
692	2145	950
693	2148	947
694	2150	943
695	2151	939
696	2153	936
697	2154	932
698	2156	928
699	2157	924
700	2159	921
701	2161	917
702	2163	914
703	2165	910
704	2166	906
705	2168	902
706	2169	899
707	2171	895
708	2172	891
709	2175	888
710	2178	885
711	2179	881
712	2180	877
713	2182	874
714	2183	870
715	2185	866
716	2186	863
717	2189	859
718	2191	856
719	2193	852
720	2194	849
721	2196	845
722	2197	841
723	2199	838
724	2201	834
725	2203	831
726	2205	828
727	2207	824
728	2208	821
729	2210	817
730	2212	814
731	2213	810
732	2215	806
733	2218	803
734	2219	800
735	2221	796
736	2223	793
737	2224	789
738	2226	786
739	2228	782
740	2229	779
741	2232	776
742	2234	772
743	2235	769
744	2237	765
745	2239	762
746	2241	759
747	2242	755
748	2245	752
749	2247	749
750	2249	745
751	2250	742
752	2252	738
753	2254	735
754	2255	732
755	2257	728
756	2260	725
757	2262	722
758	2264	718
759	2265	715
760	2267	712
761	2268	708
762	2270	705
763	2273	702
764	2275	698
765	2276	695
766	2278	692
767	2280	688
768	2281	685
769	2283	682
770	2284	678
771	2288	675
772	2290	672
773	2291	669
774	2293	665
775	2294	662
776	2296	659
777	2297	655
778	2299	652
779	2301	649
780	2303	645
781	2305	642
782	2307	639
783	2309	636
784	2311	633
785	2312	629
786	2314	626
787	2316	623
788	2318	620
789	2320	616
790	2321	613
791	2323	610
792	2324	606
793	2326	603
794	2327	600
795	2330	597
796	2332	594
797	2334	590
798	2335	587
799	2337	584
800	2338	581
801	2340	577
802	2341	574
803	2344	571
804	2346	568
805	2347	565
806	2349	561
807	2351	558
808	2353	555
809	2355	552
810	2359	549
811	2360	546
812	2362	543
813	2364	540
814	2365	536
815	2366	533
816	2368	530
817	2370	527
818	2373	524
819	2375	521
820	2376	518
821	2378	514
822	2379	511
823	2381	508
824	2382	505
825	2385	502
826	2389	499
827	2393	497
828	2395	494
829	2397	491
830	2401	488
831	2403	485
832	2404	482
833	2406	479
834	2408	475
835	2409	472
836	2411	469
837	2413	466
838	2416	463
839	2417	460
840	2419	457
841	2420	454
842	2421	451
843	2423	447
844	2425	444
845	2428	442
846	2430	439
847	2432	435
848	2433	432
849	2435	429
850	2436	426
851	2438	423
852	2439	420
853	2443	417
854	2445	414
855	2446	411
856	2448	408
857	2450	405
858	2451	402
859	2454	399
860	2457	396
861	2458	393
862	2460	390
863	2462	387
864	2463	384
865	2464	381
866	2466	378
867	2468	375
868	2471	372
869	2473	369
870	2474	366
871	2476	363
872	2478	360
873	2480	357
874	2482	354
875	2484	351
876	2486	348
877	2488	345
878	2489	342
879	2491	339
880	2496	337
881	2498	334
882	2500	331
883	2501	328
884	2503	325
885	2504	322
886	2507	319
887	2509	316
888	2510	313
889	2512	310
890	2514	307
891	2516	304
892	2518	301
893	2521	298
894	2523	296
895	2525	293
896	2527	290
897	2529	287
898	2531	284
899	2532	281
900	2534	278
901	2537	275
902	2539	272
903	2541	269
904	2542	266
905	2544	263
906	2545	261
907	2547	258
908	2550	255
909	2552	252
910	2553	249
911	2555	246
912	2556	243
913	2558	240
914	2559	237
915	2561	234
916	2564	232
917	2566	229
918	2567	226
919	2569	223
920	2570	220
921	2572	217
922	2574	214
923	2576	211
924	2578	209
925	2580	206
926	2581	203
927	2583	200
928	2584	197
929	2586	194
930	2587	191
931	2589	188
932	2591	186
933	2593	183
934	2594	180
935	2596	177
936	2597	174
937	2599	171
938	2600	168
939	2603	166
940	2605	163
941	2606	160
942	2608	157
943	2609	154
944	2611	151
945	2612	149
946	2614	146
947	2615	143
948	2618	140
949	2620	137
950	2621	135
951	2622	132
952	2624	129
953	2625	126
954	2627	123
955	2628	120
956	2631	118
957	2633	115
958	2634	112
959	2636	109
960	2637	107
961	2639	104
962	2640	101
963	2642	98
964	2644	95
965	2647	93
966	2649	90
967	2650	87
968	2652	84
969	2654	82
970	2656	79
971	2658	76
972	2660	73
973	2662	71
974	2663	68
975	2665	65
976	2666	62
977	2668	60
978	2669	57
979	2671	54
980	2674	51
981	2675	49
982	2677	46
983	2678	43
984	2680	40
985	2682	38
986	2683	35
987	2684	32
988	2686	29
989	2689	27
990	2690	24
991	2692	21
992	2693	18
993	2696	16
994	2698	13
995	2703	10
996	2705	8
997	2707	5
998	2709	2
999	2711	0
